title,tags,cluster
Superman Returns,"['Superman', 'returns', 'discover', '5-year', 'absence', 'allowed', 'Lex', 'Luthor', 'walk', 'free,', 'closest', 'felt', 'abandoned', 'moved', 'on.', 'Luthor', 'plots', 'ultimate', 'revenge', 'could', 'see', 'millions', 'killed', 'change', 'face', 'planet', 'forever,', 'well', 'ridding', 'Man', 'Steel.', 'Adventure', 'Fantasy', 'Action', 'ScienceFiction', 'savingtheworld', 'dccomics', 'invulnerability', 'sequel', 'superhero', 'basedoncomicbook', 'kryptonite', 'superpowers', 'superhumanstrength', 'lexluthor', 'JonPeters', 'GilbertAdler', 'BryanSinger', 'BryanSinger', 'BrandonRouth', 'KevinSpacey', 'KateBosworth']",0
Quantum of Solace,"['Quantum', 'Solace', 'continues', 'adventures', 'James', 'Bond', 'Casino', 'Royale.', 'Betrayed', 'Vesper,', 'woman', 'loved,', '007', 'fights', 'urge', 'make', 'latest', 'mission', 'personal.', 'Pursuing', 'determination', 'uncover', 'truth,', 'Bond', 'M', 'interrogate', 'Mr.', 'White,', 'reveals', 'organization', 'blackmailed', 'Vesper', 'far', 'complex', 'dangerous', 'anyone', 'imagined.', 'Adventure', 'Action', 'Thriller', 'Crime', 'killing', 'undercover', 'secretagent', 'britishsecretservice', 'BarbaraBroccoli', 'MarcForster', 'MichaelG.Wilson', 'DanielCraig', 'OlgaKurylenko', 'MathieuAmalric']",0
Pirates of the Caribbean: Dead Man's Chest,"['Captain', 'Jack', 'Sparrow', 'works', 'way', 'blood', 'debt', 'ghostly', 'Davey', 'Jones,', 'also', 'attempts', 'avoid', 'eternal', 'damnation.', 'Adventure', 'Fantasy', 'Action', 'witch', 'fortuneteller', 'bondage', 'exoticisland', 'monster', 'captain', 'cardgame', 'eastindiatradingcompany', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'GoreVerbinski', 'JerryBruckheimer', 'PeterKohn', 'PatSandston', 'JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",0
The Lone Ranger,"['The', 'Texas', 'Rangers', 'chase', 'gang', 'outlaws', 'led', 'Butch', 'Cavendish,', 'gang', 'ambushes', 'Rangers,', 'seemingly', 'killing', 'all.', 'One', 'survivor', 'found,', 'however,', 'American', 'Indian', 'named', 'Tonto,', 'nurses', 'back', 'health.', 'The', 'Ranger,', 'donning', 'mask', 'riding', 'white', 'stallion', 'named', 'Silver,', 'teams', 'Tonto', 'bring', 'unscrupulous', 'gang', 'others', 'ilk', 'justice.', 'Action', 'Adventure', 'Western', 'texas', 'horse', 'survivor', 'texasranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'loneranger', 'comanche', 'theloneranger', 'tonto', 'GoreVerbinski', 'GoreVerbinski', 'JerryBruckheimer', 'JohnnyDepp', 'ArmieHammer', 'WilliamFichtner']",0
Man of Steel,"['A', 'young', 'boy', 'learns', 'extraordinary', 'powers', 'earth.', 'As', 'young', 'man,', 'journeys', 'discover', 'came', 'sent', 'do.', 'But', 'hero', 'must', 'emerge', 'save', 'world', 'annihilation', 'become', 'symbol', 'hope', 'mankind.', 'Action', 'Adventure', 'Fantasy', 'ScienceFiction', 'savingtheworld', 'dccomics', 'superhero', 'basedoncomicbook', 'superhuman', 'alieninvasion', 'reboot', 'superpowers', 'dcextendeduniverse', 'CharlesRoven', 'ChristopherNolan', 'EmmaThomas', 'ZackSnyder', 'DeborahSnyder', 'HenryCavill', 'AmyAdams', 'MichaelShannon']",0
The Chronicles of Narnia: Prince Caspian,"['One', 'year', 'incredible', 'adventures', 'Lion,', 'Witch', 'Wardrobe,', 'Peter,', 'Edmund,', 'Lucy', 'Susan', 'Pevensie', 'return', 'Narnia', 'aid', 'young', 'prince', 'whose', 'life', 'threatened', 'evil', 'King', 'Miraz.', 'Now,', 'help', 'colorful', 'cast', 'new', 'characters,', 'including', 'Trufflehunter', 'badger', 'Nikabrik', 'dwarf,', 'Pevensie', 'clan', 'embarks', 'incredible', 'quest', 'ensure', 'Narnia', 'returned', 'rightful', 'heir.', 'Adventure', 'Family', 'Fantasy', 'basedonnovel', 'fictionalplace', 'brothersisterrelationship', 'lion', 'humanbeing', 'wretch', 'leapintime', 'matteroflifeanddeath', 'faith', 'uncle', 'narnia', 'fantasyworld', 'MarkJohnson', 'AndrewAdamson', 'AndrewAdamson', 'PhilipSteuer', 'BenBarnes', 'WilliamMoseley', 'AnnaPopplewell']",0
The Avengers,"['When', 'unexpected', 'enemy', 'emerges', 'threatens', 'global', 'safety', 'security,', 'Nick', 'Fury,', 'director', 'international', 'peacekeeping', 'agency', 'known', 'S.H.I.E.L.D.,', 'finds', 'need', 'team', 'pull', 'world', 'back', 'brink', 'disaster.', 'Spanning', 'globe,', 'daring', 'recruitment', 'effort', 'begins!', 'ScienceFiction', 'Action', 'Adventure', 'newyork', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook', 'alieninvasion', 'superheroteam', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', 'KevinFeige', 'JossWhedon', 'RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo']",0
Pirates of the Caribbean: On Stranger Tides,"['Captain', 'Jack', 'Sparrow', 'crosses', 'paths', 'woman', 'past,', 'sure', 'love', '--', 'ruthless', 'con', 'artist', ""who's"", 'using', 'find', 'fabled', 'Fountain', 'Youth.', 'When', 'forces', 'aboard', 'Queen', ""Anne's"", 'Revenge,', 'ship', 'formidable', 'pirate', 'Blackbeard,', 'Jack', 'finds', 'unexpected', 'adventure', 'know', 'fear', 'more:', 'Blackbeard', 'woman', 'past.', 'Adventure', 'Action', 'Fantasy', 'sea', 'captain', 'mutiny', 'sword', 'primeminister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d', 'JerryBruckheimer', 'RobMarshall', 'JohnnyDepp', 'PenélopeCruz', 'IanMcShane']",0
Men in Black 3,"['Agents', 'J', '(Will', 'Smith)', 'K', '(Tommy', 'Lee', 'Jones)', 'back...in', 'time.', 'J', 'seen', 'inexplicable', 'things', '15', 'years', 'Men', 'Black,', 'nothing,', 'even', 'aliens,', 'perplexes', 'much', 'wry,', 'reticent', 'partner.', 'But', ""K's"", 'life', 'fate', 'planet', 'put', 'stake,', 'Agent', 'J', 'travel', 'back', 'time', 'put', 'things', 'right.', 'J', 'discovers', 'secrets', 'universe', 'K', 'never', 'told', '-', 'secrets', 'reveal', 'teams', 'young', 'Agent', 'K', '(Josh', 'Brolin)', 'save', 'partner,', 'agency,', 'future', 'humankind.', 'Action', 'Comedy', 'ScienceFiction', 'timetravel', 'timemachine', 'alien', 'fictionalgovernmentagency', 'seeingthefuture', 'changinghistory', 'WalterF.Parkes', 'BarrySonnenfeld', 'LaurieMacDonald', 'WillSmith', 'TommyLeeJones', 'JoshBrolin']",0
The Hobbit: The Battle of the Five Armies,"['Immediately', 'events', 'The', 'Desolation', 'Smaug,', 'Bilbo', 'dwarves', 'try', 'defend', ""Erebor's"", 'mountain', 'treasure', 'others', 'claim', 'it:', 'men', 'ruined', 'Laketown', 'elves', 'Mirkwood.', 'Meanwhile', 'army', 'Orcs', 'led', 'Azog', 'Defiler', 'marching', 'Erebor,', 'fueled', 'rise', 'dark', 'lord', 'Sauron.', 'Dwarves,', 'elves', 'men', 'must', 'unite,', 'hope', 'Middle-Earth', 'falls', ""Bilbo's"", 'hands.', 'Action', 'Adventure', 'Fantasy', 'corruption', 'elves', 'dwarves', 'orcs', 'middle-earth(tolkien)', 'hobbit', 'dragon', 'battle', 'unlikelyfriendship', 'epicbattle', 'swordandsorcery', 'PeterJackson', 'PeterJackson', 'FranWalsh', 'CarolynneCunningham', 'ZaneWeiner', 'MartinFreeman', 'IanMcKellen', 'RichardArmitage']",4
The Amazing Spider-Man,"['Peter', 'Parker', 'outcast', 'high', 'schooler', 'abandoned', 'parents', 'boy,', 'leaving', 'raised', 'Uncle', 'Ben', 'Aunt', 'May.', 'Like', 'teenagers,', 'Peter', 'trying', 'figure', 'got', 'person', 'today.', 'As', 'Peter', 'discovers', 'mysterious', 'briefcase', 'belonged', 'father,', 'begins', 'quest', 'understand', ""parents'"", 'disappearance', '–', 'leading', 'directly', 'Oscorp', 'lab', 'Dr.', 'Curt', 'Connors,', ""father's"", 'former', 'partner.', 'As', 'Spider-Man', 'set', 'collision', 'course', ""Connors'"", 'alter', 'ego,', 'The', 'Lizard,', 'Peter', 'make', 'life-altering', 'choices', 'use', 'powers', 'shape', 'destiny', 'become', 'hero.', 'Action', 'Adventure', 'Fantasy', 'lossoffather', 'vigilante', 'serum', 'marvelcomic', 'scientificexperiment', 'spiderbite', 'maskedvigilante', 'reboot', 'superpowers', 'geneticengineering', 'socialoutcast', 'duringcreditsstinger', 'LauraZiskin', 'AviArad', 'MarcWebb', 'MattTolmach', 'AndrewGarfield', 'EmmaStone', 'RhysIfans']",0
Robin Hood,"['When', 'soldier', 'Robin', 'happens', 'upon', 'dying', 'Robert', 'Loxley,', 'promises', 'return', ""man's"", 'sword', 'family', 'Nottingham.', 'There,', 'assumes', ""Robert's"", 'identity;', 'romances', 'widow,', 'Marion;', 'draws', 'ire', ""town's"", 'sheriff', 'King', ""John's"", 'henchman,', 'Godfrey.', 'Action', 'Adventure', 'robinhood', 'archer', 'knight', 'sherwoodforest', 'bowandarrow', 'middleages', 'medieval', 'kingofengland', 'BrianGrazer', 'RidleyScott', 'RidleyScott', 'RussellCrowe', 'RussellCrowe', 'CateBlanchett', 'MaxvonSydow']",0
The Hobbit: The Desolation of Smaug,"['The', 'Dwarves,', 'Bilbo', 'Gandalf', 'successfully', 'escaped', 'Misty', 'Mountains,', 'Bilbo', 'gained', 'One', 'Ring.', 'They', 'continue', 'journey', 'get', 'gold', 'back', 'Dragon,', 'Smaug.', 'Adventure', 'Fantasy', 'elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'swordandsorcery', 'PeterJackson', 'PeterJackson', 'FranWalsh', 'CarolynneCunningham', 'ZaneWeiner', 'MartinFreeman', 'IanMcKellen', 'RichardArmitage']",0
The Golden Compass,"['After', 'overhearing', 'shocking', 'secret,', 'precocious', 'orphan', 'Lyra', 'Belacqua', 'trades', 'carefree', 'existence', 'roaming', 'halls', 'Jordan', 'College', 'otherworldly', 'adventure', 'far', 'North,', 'unaware', 'part', 'destiny.', 'Adventure', 'Fantasy', 'england', 'compass', 'experiment', 'lordship', 'uncle', 'polarbear', 'orphan', 'animal', 'basedonyoungadultnovel', 'ChrisWeitz', 'BillCarraro', 'DeborahForte', 'DakotaBlueRichards', 'NicoleKidman', 'DanielCraig']",0
King Kong,"['In', '1933', 'New', 'York,', 'overly', 'ambitious', 'movie', 'producer', 'coerces', 'cast', 'hired', 'ship', 'crew', 'travel', 'mysterious', 'Skull', 'Island,', 'encounter', 'Kong,', 'giant', 'ape', 'immediately', 'smitten', 'leading', 'lady.', 'Adventure', 'Drama', 'Action', 'filmbusiness', 'screenplay', 'showbusiness', 'filmmaking', 'filmproducer', 'exoticisland', 'monster', 'indigenous', 'ship', 'dinosaur', 'PeterJackson', 'PeterJackson', 'FranWalsh', 'JanBlenkin', 'CarolynneCunningham', 'NaomiWatts', 'JackBlack', 'AdrienBrody']",0
Titanic,"['84', 'years', 'later,', '101-year-old', 'woman', 'named', 'Rose', 'DeWitt', 'Bukater', 'tells', 'story', 'granddaughter', 'Lizzy', 'Calvert,', 'Brock', 'Lovett,', 'Lewis', 'Bodine,', 'Bobby', 'Buell', 'Anatoly', 'Mikailavich', 'Keldysh', 'life', 'set', 'April', '10th', '1912,', 'ship', 'called', 'Titanic', 'young', 'Rose', 'boards', 'departing', 'ship', 'upper-class', 'passengers', 'mother,', 'Ruth', 'DeWitt', 'Bukater,', 'fiancé,', 'Caledon', 'Hockley.', 'Meanwhile,', 'drifter', 'artist', 'named', 'Jack', 'Dawson', 'best', 'friend', 'Fabrizio', 'De', 'Rossi', 'win', 'third-class', 'tickets', 'ship', 'game.', 'And', 'explains', 'whole', 'story', 'departure', 'death', 'Titanic', 'first', 'last', 'voyage', 'April', '15th,', '1912', '2:20', 'morning.', 'Drama', 'Romance', 'Thriller', 'shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'oceanliner', 'epic', 'richwoman-poorman', 'love', 'disaster', 'tragiclove', 'classdifferences', 'imax', 'starcrossedlovers', 'steerage', 'salvage', 'richsnob', '3d', '1910s', 'JamesCameron', 'JamesCameron', 'JonLandau', 'KateWinslet', 'LeonardoDiCaprio', 'FrancesFisher']",0
Captain America: Civil War,"['Following', 'events', 'Age', 'Ultron,', 'collective', 'governments', 'world', 'pass', 'act', 'designed', 'regulate', 'superhuman', 'activity.', 'This', 'polarizes', 'opinion', 'amongst', 'Avengers,', 'causing', 'two', 'factions', 'side', 'Iron', 'Man', 'Captain', 'America,', 'causes', 'epic', 'battle', 'former', 'allies.', 'Adventure', 'Action', 'ScienceFiction', 'civilwar', 'war', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d', 'KevinFeige', 'AnthonyRusso', 'JoeRusso', 'ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson']",0
Battleship,"['When', 'mankind', 'beams', 'radio', 'signal', 'space,', 'reply', 'comes', '‘Planet', 'G’,', 'form', 'several', 'alien', 'crafts', 'splash', 'waters', 'Hawaii.', 'Lieutenant', 'Alex', 'Hopper', 'weapons', 'officer', 'assigned', 'USS', 'John', 'Paul', 'Jones,', 'part', 'international', 'naval', 'coalition', 'becomes', ""world's"", 'last', 'hope', 'survival', 'engage', 'hostile', 'alien', 'force', 'unimaginable', 'strength.', 'While', 'taking', 'invaders,', 'Hopper', 'must', 'also', 'try', 'live', 'potential', 'brother,', ""fiancée's"", 'father,', 'Admiral', 'Shane,', 'expect', 'him.', 'Thriller', 'Action', 'Adventure', 'ScienceFiction', 'fight', 'u.s.navy', 'mindreading', 'hongkong', 'soccer', 'scientist', 'fictionalwar', 'naval', 'armada', 'battleship', 'navalcombat', 'jdsmyoko', 'lostcommunication', 'taser', 'buoy', 'communicationsexpert', 'jointchiefsofstaff', 'crashlanding', 'jetfighterpilot', 'navylieutenant', 'permissiontomarry', 'ussjohnpauljones', 'basedonboardgame', 'aftercreditsstinger', 'mightymo', 'ussmissouri', 'DuncanHenderson', 'ScottStuber', 'BrianGoldner', 'PeterBerg', 'PeterBerg', 'SarahAubrey', 'BennettSchneir', 'TaylorKitsch', 'AlexanderSkarsgård', 'Rihanna']",0
Jurassic World,"['Twenty-two', 'years', 'events', 'Jurassic', 'Park,', 'Isla', 'Nublar', 'features', 'fully', 'functioning', 'dinosaur', 'theme', 'park,', 'Jurassic', 'World,', 'originally', 'envisioned', 'John', 'Hammond.', 'Action', 'Adventure', 'ScienceFiction', 'Thriller', 'monster', 'dna', 'tyrannosaurusrex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusementpark', 'animalattack', 'themepark', 'jurassicpark', '3d', 'animalhorror', 'ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan']",0
Skyfall,"['When', ""Bond's"", 'latest', 'assignment', 'goes', 'gravely', 'wrong', 'agents', 'around', 'world', 'exposed,', 'MI6', 'attacked', 'forcing', 'M', 'relocate', 'agency.', 'These', 'events', 'cause', 'authority', 'position', 'challenged', 'Gareth', 'Mallory,', 'new', 'Chairman', 'Intelligence', 'Security', 'Committee.', 'With', 'MI6', 'compromised', 'inside', 'out,', 'M', 'left', 'one', 'ally', 'trust:', 'Bond.', '007', 'takes', 'shadows', '-', 'aided', 'field', 'agent,', 'Eve', '-', 'following', 'trail', 'mysterious', 'Silva,', 'whose', 'lethal', 'hidden', 'motives', 'yet', 'reveal', 'themselves.', 'Action', 'Adventure', 'Thriller', 'spy', 'secretagent', 'sociopath', 'killer', 'artgallery', 'britishsecretservice', 'istanbulturkey', 'imax', 'uzi', 'boobytrap', 'impersonatingapoliceofficer', 'macao', 'SamMendes', 'BarbaraBroccoli', 'MichaelG.Wilson', 'DanielCraig', 'JudiDench', 'JavierBardem']",0
Spider-Man 2,"['Peter', 'Parker', 'going', 'major', 'identity', 'crisis.', 'Burned', 'Spider-Man,', 'decides', 'shelve', 'superhero', 'alter', 'ego,', 'leaves', 'city', 'suffering', 'wake', 'carnage', 'left', 'evil', 'Doc', 'Ock.', 'In', 'meantime,', 'Parker', 'still', ""can't"", 'act', 'feelings', 'Mary', 'Jane', 'Watson,', 'girl', 'loved', 'since', 'childhood.', 'Action', 'Adventure', 'Fantasy', 'dualidentity', ""loveofone'slife"", 'pizzaboy', 'marvelcomic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'supervillain', 'SamRaimi', 'LauraZiskin', 'AviArad', 'LorneOrleans', 'TobeyMaguire', 'KirstenDunst', 'JamesFranco']",0
Iron Man 3,"['When', 'Tony', ""Stark's"", 'world', 'torn', 'apart', 'formidable', 'terrorist', 'called', 'Mandarin,', 'starts', 'odyssey', 'rebuilding', 'retribution.', 'Action', 'Adventure', 'ScienceFiction', 'terrorist', 'waronterror', 'tennessee', 'malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'tonystark', 'ironman', 'aftercreditsstinger', 'marvelcinematicuniverse', 'mandarin', '3d', 'warmachine', 'ironpatriot', 'extremis', 'ShaneBlack', 'KevinFeige', 'RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",0
Alice in Wonderland,"['Alice,', 'unpretentious', 'individual', '19-year-old,', 'betrothed', 'dunce', 'English', 'nobleman.', 'At', 'engagement', 'party,', 'escapes', 'crowd', 'consider', 'whether', 'go', 'marriage', 'falls', 'hole', 'garden', 'spotting', 'unusual', 'rabbit.', 'Arriving', 'strange', 'surreal', 'place', 'called', ""'Underland,'"", 'finds', 'world', 'resembles', 'nightmares', 'child,', 'filled', 'talking', 'animals,', 'villainous', 'queens', 'knights,', 'frumious', 'bandersnatches.', 'Alice', 'realizes', 'reason', '–', 'conquer', 'horrific', 'Jabberwocky', 'restore', 'rightful', 'queen', 'throne.', 'Family', 'Fantasy', 'Adventure', 'basedonnovel', 'fictionalplace', 'queen', 'fantasy', 'aliceinwonderland', 'fantasyworld', '3d', 'TimBurton', 'JenniferTodd', 'SuzanneTodd', 'RichardD.Zanuck', 'KatterliFrauenfelder', 'JoeRoth', 'DerekFrey', 'TomC.Peitzman', 'MiaWasikowska', 'JohnnyDepp', 'AnneHathaway']",0
X-Men: The Last Stand,"['When', 'cure', 'found', 'treat', 'mutations,', 'lines', 'drawn', 'amongst', 'X-Men', 'The', 'Brotherhood,', 'band', 'powerful', 'mutants', 'organized', ""Xavier's"", 'former', 'ally,', 'Magneto.', 'Adventure', 'Action', 'ScienceFiction', 'Thriller', 'mutant', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger', 'RalphWinter', 'LaurenShulerDonner', 'AviArad', 'BrettRatner', 'HughJackman', 'HalleBerry', 'IanMcKellen']",0
Monsters University,"['A', 'look', 'relationship', 'Mike', 'Sulley', 'days', 'Monsters', 'University', '—', 'necessarily', 'best', 'friends.', 'Animation', 'Family', 'monster', 'dormitory', 'games', 'animation', 'bestfriend', 'university', 'scary', 'aftercreditsstinger', 'KoriRae', 'DanScanlon', 'BillyCrystal', 'JohnGoodman', 'SteveBuscemi']",0
Transformers: Revenge of the Fallen,"['Sam', 'Witwicky', 'leaves', 'Autobots', 'behind', 'normal', 'life.', 'But', 'mind', 'filled', 'cryptic', 'symbols,', 'Decepticons', 'target', 'dragged', 'back', ""Transformers'"", 'war.', 'ScienceFiction', 'Action', 'Adventure', 'egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger', 'MichaelBay', 'DonMurphy', 'IanBryce', 'LorenzodiBonaventura', 'TomDeSanto', 'ShiaLaBeouf', 'MeganFox', 'JoshDuhamel']",0
